Name,VAddr,DBAddr,Signed,Float,DSize,Mult,Units,RDVal
CBMainStatus,8389609,0,0,0,2,1,95,0
CBMainVoltV12,8389610,2,0,0,2,1,5,0
CBMainVoltV23,8389611,4,0,0,2,1,5,0
CBMainVoltV31,8389612,6,0,0,2,1,5,0
CBMainActPower,8389613,8,0,0,2,1,48,0
CBMainFreq,8389614,10,0,0,2,1,27,0
CBMainEnergyIN,8389615,12,0,0,2,1,19,0
CBMainCurrentI1,8389616,14,0,0,2,1,3,0
CBMainCurrentI2,8389617,16,0,0,2,1,3,0
CBMainCurrentI3,8389618,18,0,0,2,1,3,0
CBMainEnergyOUT,8389619,20,0,0,2,1,19,0
BESS_ActPower,8389620,22,0,0,2,1,48,0
PP2_ActPower,8389621,24,0,0,2,1,48,0
PR1_ActPower,8389622,26,0,0,2,1,48,0
PSCC_ActPower,8389623,28,0,0,2,1,48,0
PE2_ActPower,8389624,30,0,0,2,1,48,0
PP3_ActPower,8389625,32,0,0,2,1,48,0
PP4_ActPower,8389626,34,0,0,2,1,48,0
PSCR_ActPower,8389627,36,0,0,2,1,48,0
PP1_ActPower,8389628,38,0,0,2,1,48,0
CDS4_ActPower,8389629,40,0,0,2,1,48,0
CDS7_ActPower,8389630,42,0,0,2,1,48,0
CDS11_ActPower,8389631,44,0,0,2,1,48,0
PPUS1_ActPower,8389632,48,0,0,2,1,48,0
